step,reward,avg_ep_reward,gravity
1000,-2.3157907735787138,-191.69768527070582,-10.0
2000,-1.8779788203786176,-156.60098937239232,-10.0
3000,-1.067065883514904,-93.81570316074436,-10.0
4000,-1.8324442110798274,-180.5077277060237,-10.0
5000,-1.471392600027455,-115.96430032494152,-10.0
6000,-1.18547664370459,-88.6255759508556,-10.0
7000,-1.1310355380432218,-104.24510087111962,-10.0
8000,-1.2507955637954948,-110.10186280422624,-10.0
9000,-1.103321301546031,-101.43671534310829,-10.0
10000,-1.2217795575203254,-110.74634510374078,-10.0
11000,-0.8449847400653524,-83.06909824650702,-11.280101957159925
12000,-1.0061337533561179,-83.70553582839243,-11.280101957159925
13000,-0.8163018001611205,-82.55474400853474,-11.280101957159925
14000,-0.6781210621526566,-61.88649597160405,-11.280101957159925
15000,-0.7129875139787721,-69.2831086729843,-11.280101957159925
16000,-0.3177468817067555,-32.95252051808823,-11.280101957159925
17000,-0.5774912738145183,-47.71357293774152,-11.280101957159925
18000,-1.1389943911251683,-118.40195123271897,-11.280101957159925
19000,-0.41548686464465295,-45.347234009026174,-11.280101957159925
20000,-0.5681754040135986,-52.3226661669742,-11.280101957159925
21000,-0.19216585139266992,-16.769543786489688,-19.481475363442172
22000,-0.2715882364564602,-32.383882152476104,-19.481475363442172
23000,-0.13749253904926612,-29.669488164546856,-19.481475363442172
24000,-0.43652814533337747,-46.484900667564695,-19.481475363442172
25000,-0.1396506385687548,-20.612971293968783,-19.481475363442172
26000,-0.21945204554918596,-16.738864404163525,-19.481475363442172
27000,-0.109306008357246,-9.605622469059762,-19.481475363442172
28000,-0.11128440324283786,-1.4929750143319835,-19.481475363442172
29000,-0.18927450478563967,-30.789348832216966,-19.481475363442172
30000,-0.15109662409741084,-9.052864879223502,-19.481475363442172
31000,-0.12164087155593253,-14.469459865362447,-9.006750442425817
32000,0.07447873296593166,1.974594020053496,-9.006750442425817
33000,-0.19292017664425548,-15.111559318886481,-9.006750442425817
34000,0.019352041065185312,1.5490564656619257,-9.006750442425817
35000,0.0520726234662568,4.279003267035153,-9.006750442425817
36000,-0.010502004619358792,-1.6363332907576549,-9.006750442425817
37000,0.19202216575037798,1.7715359566363404,-9.006750442425817
38000,0.08736285457622081,36.462082906657805,-9.006750442425817
39000,0.15579915641407532,13.504319670769808,-9.006750442425817
40000,0.075101678148552,18.340679959711476,-9.006750442425817
41000,0.22698368241930067,16.407929137328658,-11.293552147634463
42000,0.20254322099207495,34.581901415970876,-11.293552147634463
43000,0.2374095480315951,36.224509678644914,-11.293552147634463
44000,0.10158163275019307,21.657188899387478,-11.293552147634463
45000,0.22509140066554198,23.51549051330545,-11.293552147634463
46000,0.06764594901426021,15.529752520910705,-11.293552147634463
47000,0.15572021844362566,24.90126473364506,-11.293552147634463
48000,0.2196453992670911,22.05823339707917,-11.293552147634463
49000,0.07552267880082747,31.41533678909219,-11.293552147634463
50000,0.08775573698255444,37.73233079407515,-11.293552147634463
51000,0.2188110959207016,40.019157735733096,-11.59264395825022
52000,0.0076304804123054504,31.719016999092577,-11.59264395825022
53000,0.119435486632479,30.16115567307069,-11.59264395825022
54000,0.3451354149123327,32.639505006936815,-11.59264395825022
55000,0.05318773086860994,31.57032338159224,-11.59264395825022
56000,0.0822147183865489,19.768668185690753,-11.59264395825022
57000,0.022779205288068115,-0.8835689648991718,-11.59264395825022
58000,0.3303013880773675,42.510847291987965,-11.59264395825022
59000,0.4365353934806379,81.68586733301325,-11.59264395825022
60000,0.18176744078100437,21.70210030257315,-11.59264395825022
61000,0.09427794800308646,10.881481457486363,-13.393303579922517
62000,0.29148975682787975,32.475502207096994,-13.393303579922517
63000,0.11281422594146481,11.71926281556828,-13.393303579922517
64000,0.022827644868351215,5.975177216434953,-13.393303579922517
65000,0.0909197856037954,12.196887881384638,-13.393303579922517
66000,0.12297315088284996,20.19927728008715,-13.393303579922517
67000,-0.17446842890436248,-1.9886538616138594,-13.393303579922517
68000,0.49673361324730103,30.722766732915904,-13.393303579922517
69000,0.288217135669673,78.92879370332977,-13.393303579922517
70000,-0.02292526227379581,24.31278353557176,-13.393303579922517
71000,0.41574300938263903,23.19998251856957,-15.90702731924315
72000,0.29723047415293197,71.25396402151286,-15.90702731924315
73000,0.5821478589875166,57.23556387962426,-15.90702731924315
74000,0.41227839383543685,90.57404086254196,-15.90702731924315
75000,0.16150489004677707,67.09209400161309,-15.90702731924315
76000,0.19814755302551856,54.94170068407747,-15.90702731924315
77000,0.27616273630474547,90.02064731496283,-15.90702731924315
78000,0.605919845734566,113.62539730568176,-15.90702731924315
79000,-0.0037055061777117706,123.1945709875595,-15.90702731924315
80000,0.03142757470146019,95.60401964686845,-15.90702731924315
81000,0.12430267826807999,110.53457571754002,-7.614580672986726
82000,0.35685314023803016,129.67120534706052,-7.614580672986726
83000,0.04416466958054511,117.10593307940856,-7.614580672986726
84000,0.7758438321583476,134.82277945355892,-7.614580672986726
85000,0.4056883894099572,157.36859815685403,-7.614580672986726
86000,0.22908979687050132,151.4436791927911,-7.614580672986726
87000,1.1461446642391948,184.7231660605487,-7.614580672986726
88000,0.16441185492238503,174.3879624121381,-7.614580672986726
89000,0.1343717399616795,171.7343846828565,-7.614580672986726
90000,0.12972832621602173,65.00647407282007,-7.614580672986726
91000,0.13391929552395476,53.9028565480218,-14.006906526509537
92000,0.21642556538284757,38.96761084293316,-14.006906526509537
93000,0.13850870685257533,58.444228757691086,-14.006906526509537
94000,0.2071028956002668,72.81875283552473,-14.006906526509537
95000,-0.2597706681461366,49.46984344244997,-14.006906526509537
96000,0.12567788746028227,59.1770772211533,-14.006906526509537
97000,0.07358722896600765,53.47781633840283,-14.006906526509537
98000,0.19310852589068697,38.64444878440955,-14.006906526509537
99000,-0.10431920995188608,14.934406913830042,-14.006906526509537
100000,0.15686278618468683,19.096476757791947,-14.006906526509537
