step,reward,avg_ep_reward,gravity
1000,-1.8443270975247996,-178.1571547298395,-10.0
2000,-1.9753500448090393,-157.61284105928888,-10.0
3000,-1.5275431323971964,-124.10480956540599,-10.0
4000,-1.4585423290925315,-115.5991792195955,-10.0
5000,-1.884742349787134,-160.73928599859366,-10.0
6000,-1.3626875626279598,-121.47464656480209,-10.0
7000,-1.4005569515977074,-141.0049900971472,-10.0
8000,-1.6511378007185258,-146.16086026569718,-10.0
9000,-1.7554582808826245,-172.03300383790787,-10.0
10000,-1.7344027601234233,-127.06271083185439,-10.0
11000,-1.3220651842607791,-137.1362051709229,-0.6594032197264674
12000,-1.9725715105572037,-190.0874542460403,-0.6594032197264674
13000,-1.386837794815104,-124.26177685723933,-0.6594032197264674
14000,-0.8351905226045366,-75.00849444014095,-0.6594032197264674
15000,-1.3524861279986522,-143.61957554953597,-0.6594032197264674
16000,-1.139446171330901,-121.15275020337883,-0.6594032197264674
17000,-0.8264311875313497,-110.02460349306668,-0.6594032197264674
18000,-0.7961589488023242,-84.06336439337618,-0.6594032197264674
19000,-0.6775796472368905,-68.5775046253394,-0.6594032197264674
20000,-0.6350878050225257,-71.2589374596409,-0.6594032197264674
21000,-0.7614529011089413,-76.2573913931276,-9.055355016485553
22000,-1.074369038030807,-111.29261475838948,-9.055355016485553
23000,-0.681468310182768,-61.229923981400155,-9.055355016485553
24000,-0.4127126168694554,-49.12114929686516,-9.055355016485553
25000,-0.4199564004306404,-52.30417596312907,-9.055355016485553
26000,-0.4452580500905957,-50.235263611638274,-9.055355016485553
27000,-0.2516431510766989,-60.23895051392242,-9.055355016485553
28000,-0.15000997526223897,-51.83659455524504,-9.055355016485553
29000,-0.03380063691487821,-29.599066555825175,-9.055355016485553
30000,-0.038276110731467514,-1.7456800685698197,-9.055355016485553
31000,-0.3644138066477323,-32.18951645585925,-0.5463128007023137
32000,-0.11089489545416774,-35.84540242901816,-0.5463128007023137
33000,-0.052414391628925,-5.9117441584514605,-0.5463128007023137
34000,-0.26927770462655887,-27.42869743783543,-0.5463128007023137
35000,-0.01852451849394951,-32.14316267703383,-0.5463128007023137
36000,-0.10115688391157984,-12.772326347441384,-0.5463128007023137
37000,-0.17286094795017076,-25.343693257063865,-0.5463128007023137
38000,-0.30373303905741333,-65.34503006256409,-0.5463128007023137
39000,-0.17229928555376375,-73.7786211854147,-0.5463128007023137
40000,0.07746544175270756,-66.97883938694137,-0.5463128007023137
41000,-0.2451398830143842,-45.274517900605545,-5.703680126512706
42000,-0.04956113860484906,-31.294400438752042,-5.703680126512706
43000,0.08145401890250452,-20.39521065120218,-5.703680126512706
44000,-0.09471273703307558,-29.61550497509345,-5.703680126512706
45000,-0.024702772057921887,-12.878980222555265,-5.703680126512706
46000,0.13749209333496365,-5.160170795735934,-5.703680126512706
47000,-0.11557364491497896,-6.711632842208436,-5.703680126512706
48000,-0.013423240174585693,-2.1295071577917684,-5.703680126512706
49000,-0.23497862016343665,-16.804215754710864,-5.703680126512706
50000,-0.18477188858160082,-57.851037566213975,-5.703680126512706
51000,0.01592269271148634,-34.02456582413298,-6.045423508054583
52000,0.07888966639852552,-5.702834995360675,-6.045423508054583
53000,0.03126196561465566,17.639781847091168,-6.045423508054583
54000,-0.27016040449781675,-11.871299774011352,-6.045423508054583
55000,0.12179387989840766,-8.829152743170395,-6.045423508054583
56000,0.11485006016264955,-9.413975925460665,-6.045423508054583
57000,0.20117927643420655,13.59783935237689,-6.045423508054583
58000,-0.00566219146416363,39.05885428071817,-6.045423508054583
59000,-0.14743786862196406,28.08347294085246,-6.045423508054583
60000,-0.3626331462517215,-40.13401712212876,-6.045423508054583
61000,-0.03153210316337955,-8.93810912712072,-15.678210088392472
62000,-0.04608886619260446,-11.758739733556649,-15.678210088392472
