step,reward,avg_ep_reward,gravity
1000,-2.3496081971143785,-231.74847434771135,-10.0
2000,-2.187181347252491,-198.99891754465807,-10.0
3000,-1.7306991792794122,-120.77653812022254,-10.0
4000,-1.940794497240578,-191.51371133531134,-10.0
5000,-1.5649640563777178,-121.21605832686127,-10.0
6000,-2.787290068105219,-250.30884807583956,-10.0
7000,-2.160491806012788,-177.78723544408484,-10.0
8000,-1.022560644818839,-110.76490194721798,-10.0
9000,-1.3039221022344942,-109.65937175216375,-10.0
10000,-1.4135704603036523,-137.82944367602096,-10.0
11000,-1.5089532339919633,-137.64876397335968,-8.98404194850849
12000,-1.3273551028316213,-145.75791650188165,-8.98404194850849
13000,-0.3651087676493496,-162.2500074001096,-8.98404194850849
14000,-1.0196374207623966,-118.11096970449239,-8.98404194850849
15000,-0.9278583797437714,-92.78575637524015,-8.98404194850849
16000,-1.2447975389771422,-118.39387583270175,-8.98404194850849
17000,-0.8727002929571311,-86.50542027712264,-8.98404194850849
18000,-0.5813213894545871,-59.152957851447084,-8.98404194850849
19000,-0.37965801985127734,-45.18293514498668,-8.98404194850849
20000,-0.27719058165374594,-59.32718035214365,-8.98404194850849
21000,-0.530125196988553,-42.18183033582709,-5.837043547637904
22000,-0.23684972684014155,-36.94905438364017,-5.837043547637904
23000,0.052085954557821224,-27.149528758704783,-5.837043547637904
24000,-0.505977733266696,-53.0435792017008,-5.837043547637904
25000,-0.08831130042250798,-53.90600621741923,-5.837043547637904
26000,-0.43328774865818614,-66.46115499841433,-5.837043547637904
27000,-0.13013235268086853,-63.854126061739656,-5.837043547637904
28000,-0.011465534232608428,-63.53057269563516,-5.837043547637904
29000,0.03929552795550598,-57.53396011178275,-5.837043547637904
30000,-0.07153381117565256,-41.32153128463095,-5.837043547637904
31000,-0.17992064333488464,-35.73419461419835,-14.181905221741113
32000,-0.737403067071248,-94.07118571288831,-14.181905221741113
33000,-0.398374378413094,-112.2429681543991,-14.181905221741113
34000,-0.8091906210164458,-70.69727817498656,-14.181905221741113
35000,-1.0812088985289385,-113.43044246550934,-14.181905221741113
36000,-0.6198295087204185,-77.1272090016496,-14.181905221741113
37000,-0.4238781657083613,-70.40547805208463,-14.181905221741113
38000,-0.9093034955861685,-118.59215600289667,-14.181905221741113
39000,-0.04933352094803723,-110.3295956230661,-14.181905221741113
40000,-0.13122034835071694,-122.83486527335701,-14.181905221741113
41000,-0.2808030783028928,-104.1150901247903,-9.78344789604674
42000,0.11034266240570882,-67.3774726700765,-9.78344789604674
43000,0.07642163466007815,-34.15405488950441,-9.78344789604674
44000,-0.41651962868473236,-41.39664893807905,-9.78344789604674
45000,0.029929975232329903,-37.503594764968014,-9.78344789604674
46000,-0.17033073593346892,-27.84238305343403,-9.78344789604674
47000,-0.3416635709538453,-56.49517275554128,-9.78344789604674
48000,-0.2210961783215852,-70.35270696666703,-9.78344789604674
49000,0.011852384791722265,-51.75806859328825,-9.78344789604674
50000,-0.4763753511193396,-54.49007161584765,-9.78344789604674
51000,-0.8476358032315345,-135.28533288508171,-2.141060913046907
52000,-0.1272590197384303,-137.70384685336163,-2.141060913046907
53000,-0.041750298351443976,-137.92429570311702,-2.141060913046907
54000,-0.5223480569134659,-152.46452248378563,-2.141060913046907
55000,0.05728838168543705,-123.08301078092241,-2.141060913046907
56000,-0.028180377448604587,-102.52143445394071,-2.141060913046907
57000,0.010537471124286489,-95.18474797046947,-2.141060913046907
58000,-0.26141960778581946,-66.90517609165553,-2.141060913046907
59000,0.017822412245560287,-51.893019461432516,-2.141060913046907
60000,-0.06243738289015144,-30.97975348674662,-2.141060913046907
61000,-0.09377813215540545,-34.89380401320098,-2.074138221331239
62000,-0.12134195629631478,-54.83716532523706,-2.074138221331239
63000,-0.18225247475473594,-41.2189851587609,-2.074138221331239
64000,-0.12344449198199628,-65.39141328881024,-2.074138221331239
65000,-0.21446421653699285,-73.74723985848267,-2.074138221331239
66000,0.03584067923503841,-76.64129257603847,-2.074138221331239
67000,0.04811213768715223,-60.95477281243534,-2.074138221331239
68000,0.05877072788700285,-41.14246851006992,-2.074138221331239
69000,0.055640637875517346,-32.831615999754845,-2.074138221331239
70000,0.06557415397138629,-31.123180532175088,-2.074138221331239
71000,-1.3908777118989526,-91.94759948812586,-17.488293790723276
72000,-0.9222197143715161,-80.20741953883007,-17.488293790723276
73000,-1.629788836231928,-136.0829932318017,-17.488293790723276
74000,-1.083240463038583,-93.01442680409976,-17.488293790723276
75000,-1.119483218170844,-89.10455832631152,-17.488293790723276
76000,-1.0261848358047883,-69.68911825528524,-17.488293790723276
77000,-0.9085114729288347,-66.22642764478606,-17.488293790723276
78000,-0.713692379691899,-72.74604276689566,-17.488293790723276
79000,-0.7504202865546549,-53.157784823935835,-17.488293790723276
80000,-0.9856743524211766,-96.87280938681512,-17.488293790723276
81000,-0.3483381583473695,-34.90508222676305,-15.855142437236264
82000,-0.4724453614928189,-39.08294057093862,-15.855142437236264
83000,-0.3761537213450198,-38.8841952480687,-15.855142437236264
84000,-0.28892487956861834,-25.448791870948636,-15.855142437236264
85000,-0.4196717470113847,-45.7799823079708,-15.855142437236264
86000,-0.11590511473413771,-13.314955147579152,-15.855142437236264
87000,-0.02774993294240256,-15.300297519486644,-15.855142437236264
88000,0.06835331347822829,-13.10078953375213,-15.855142437236264
89000,0.14955327028844878,19.948350512214574,-15.855142437236264
90000,0.34584925603638234,45.13123304862394,-15.855142437236264
91000,0.08125020137646358,35.702586300123166,-18.9706559339834
92000,-0.12292069345978003,-12.578031989257282,-18.9706559339834
93000,-0.20159870826169884,-9.940541290372975,-18.9706559339834
94000,-0.501069740806635,-51.84982291593691,-18.9706559339834
95000,-0.26017227548578226,-55.37359776360843,-18.9706559339834
96000,-0.11513782916084761,-11.498482388695642,-18.9706559339834
97000,-0.3501227995908384,-33.39215275390986,-18.9706559339834
98000,0.16611368302659263,10.312734392424609,-18.9706559339834
99000,-0.15919770200388905,-21.162494163640634,-18.9706559339834
100000,-0.20193324698900145,-19.402848225174203,-18.9706559339834
